phase,eof,term,legacy,corrected,diff
intensification,6,Kz,0.0287006,-0.0418109,-0.0705115
intensification,6,Ke,-0.0126495,-0.232721,-0.220072
intensification,6,Cz,0.0295017,-0.101287,-0.130789
intensification,6,Ca,-0.174173,-0.160676,0.0134976
intensification,6,Ck,0.412307,0.570094,0.157787
intensification,6,Ce,0.145111,0.00908365,-0.136027
intensification,6,Gz,0.163298,-0.182475,-0.345774
intensification,6,Ge,0.318126,0.202032,-0.116095
intensification,6,BAz,-0.0512392,0.27889,0.33013
intensification,6,BAe,0.50848,-0.083654,-0.592134
intensification,6,BKz,-0.0534186,-0.0882869,-0.0348682
intensification,6,BKe,0.372719,0.329142,-0.0435774
intensification,6,BΦZ,-0.198546,0.139134,0.337679
intensification,6,BΦE,-0.157682,0.203872,0.361554
intensification,6,∂Az/∂t (finite diff.),0.122578,0.200825,0.0782476
intensification,6,∂Ae/∂t (finite diff.),0.531698,0.379371,-0.152326
intensification,6,∂Kz/∂t (finite diff.),0.286533,0.376124,0.0895909
intensification,6,∂Ke/∂t (finite diff.),0.400421,-0.0154171,-0.415838
intensification,6,RGz,0.0884178,-0.413275,-0.501693
intensification,6,RKz,0.0374117,0.0930995,0.0556878
intensification,6,RGe,-0.0551465,0.461312,0.516458
intensification,6,RKe,0.0311521,0.113513,0.082361
intensification,7,Az,0.0845322,0.109465,0.0249332
intensification,7,Ae,-0.0372354,0.0569587,0.0941941
intensification,7,Kz,0.245173,0.328562,0.0833891
intensification,7,Ke,-0.128502,-0.0802022,0.0482999
intensification,7,Cz,0.195455,0.213934,0.0184788
intensification,7,Ca,-0.0517701,0.0250697,0.0768399
intensification,7,Ck,0.48962,0.23517,-0.25445
intensification,7,Ce,-0.00532601,0.178178,0.183504
intensification,7,Gz,0.264115,0.302929,0.0388135
intensification,7,Ge,-0.0579082,0.188079,0.245987
intensification,7,BAz,0.308707,0.272604,-0.0361035
intensification,7,BAe,-0.137029,-0.0734412,0.0635875
intensification,7,BKz,-0.179489,-0.0547074,0.124782
intensification,7,BKe,0.472358,-0.108012,-0.58037
intensification,7,BΦZ,0.10971,-0.0478037,-0.157513
intensification,7,BΦE,0.125329,-0.0766925,-0.202021
intensification,7,∂Az/∂t (finite diff.),-0.0153806,0.0259539,0.0413346
intensification,7,∂Ae/∂t (finite diff.),-0.258554,-0.536499,-0.277945
intensification,7,∂Kz/∂t (finite diff.),-0.00252059,-0.0710163,-0.0684957
intensification,7,∂Ke/∂t (finite diff.),-0.389615,-0.523452,-0.133837
intensification,7,RGz,-0.189432,-0.110435,0.0789968
intensification,7,RKz,0.0196499,-0.0442384,-0.0638883
intensification,7,RGe,0.0519525,0.109238,0.0572856
intensification,7,RKe,-0.0888054,0.00884933,0.0976547
intensification,8,Az,-0.148758,-0.0614755,0.0872827
intensification,8,Ae,-0.140325,-0.0464885,0.0938367
intensification,8,Kz,-0.11008,-0.107762,0.00231796
intensification,8,Ke,-0.253514,-0.0911647,0.162349
intensification,8,Cz,-0.0246608,-0.128166,-0.103506
intensification,8,Ca,0.00383687,0.0584135,0.0545766
intensification,8,Ck,0.143409,-0.26814,-0.411549
intensification,8,Ce,0.258139,0.231316,-0.0268237
intensification,8,Gz,0.111788,-0.0993418,-0.211129
intensification,8,Ge,0.49019,0.430461,-0.0597292
intensification,8,BAz,0.203034,-0.00348827,-0.206523
intensification,8,BAe,-0.0563132,-0.0396762,0.016637
intensification,8,BKz,0.164099,0.19436,0.0302611
intensification,8,BKe,-0.430302,-0.696335,-0.266034
intensification,8,BΦZ,-0.0307443,-0.0338392,-0.00309493
intensification,8,BΦE,0.0345947,-0.0226361,-0.0572307
intensification,8,∂Az/∂t (finite diff.),0.0111143,-0.0189663,-0.0300806
intensification,8,∂Ae/∂t (finite diff.),0.0550404,0.11105,0.0560094
intensification,8,∂Kz/∂t (finite diff.),0.0874267,0.0345479,-0.0528787
intensification,8,∂Ke/∂t (finite diff.),-0.202504,0.046105,0.248609
intensification,8,RGz,-0.203898,-0.0580529,0.145846
intensification,8,RKz,-0.127658,-0.0839293,0.0437288
intensification,8,RGe,0.340313,0.351917,0.011604
intensification,8,RKe,0.224311,0.293517,0.0692051
mature,1,Az,0.177391,0.197633,0.0202417
mature,1,Ae,0.758397,0.715366,-0.0430319
mature,1,Kz,0.349717,0.314502,-0.0352148
mature,1,Ke,0.59971,0.564203,-0.0355068
mature,1,Cz,-0.310146,-0.255193,0.0549526
mature,1,Ca,0.882757,0.871935,-0.0108217
mature,1,Ck,-0.608367,-0.551208,0.0571587
mature,1,Ce,0.856108,0.768946,-0.0871622
mature,1,Gz,-0.299406,-0.286001,0.0134046
mature,1,Ge,0.537253,0.435818,-0.101435
mature,1,BAz,0.3752,0.369024,-0.00617638
mature,1,BAe,-0.245855,-0.258509,-0.0126537
mature,1,BKz,-0.576597,-0.66089,-0.0842929
mature,1,BKe,-0.0982276,-0.178027,-0.0797998
mature,1,BΦZ,0.679085,0.77579,0.0967051
mature,1,BΦE,0.611466,-0.815481,-1.42695
mature,1,∂Az/∂t (finite diff.),-0.103798,0.0167865,0.120585
mature,1,∂Ae/∂t (finite diff.),-0.188283,-0.190173,-0.00188969
mature,1,∂Kz/∂t (finite diff.),0.152766,0.247543,0.0947763
mature,1,∂Ke/∂t (finite diff.),0.0468016,0.0174162,-0.0293854
mature,1,RGz,-0.480687,0.131212,0.6119
mature,1,RKz,0.695688,0.776534,0.0808463
mature,1,RGe,0.715425,0.0439752,-0.67145
mature,1,RKe,-0.868742,-0.834528,0.0342144
mature,2,Az,0.0451736,0.263615,0.218442
mature,2,Ae,0.0412152,0.212015,0.170799
mature,2,Kz,0.375999,0.595871,0.219872
mature,2,Ke,-0.146279,0.00906323,0.155342
mature,2,Cz,-0.33876,-0.622117,-0.283357
mature,2,Ca,-0.215757,0.102599,0.318356
mature,2,Ck,0.0548436,0.0825501,0.0277065
mature,2,Ce,-0.0234001,0.153348,0.176748
mature,2,Gz,-0.0226455,-0.316451,-0.293805
mature,2,Ge,-0.120922,-0.153134,-0.0322121
mature,2,BAz,-0.578466,-0.543938,0.0345279
mature,2,BAe,0.355624,0.471325,0.115701
mature,2,BKz,-0.200931,0.291275,0.492206
mature,2,BKe,-0.225313,-0.00438043,0.220933
mature,2,BΦZ,0.575524,-0.160665,-0.736189
mature,2,BΦE,0.579112,-0.0552617,-0.634373
mature,2,∂Az/∂t (finite diff.),0.409996,-0.129493,-0.53949
mature,2,∂Ae/∂t (finite diff.),-0.496407,-0.353312,0.143095
mature,2,∂Kz/∂t (finite diff.),0.0939871,-0.269402,-0.363389
mature,2,∂Ke/∂t (finite diff.),-0.545217,-0.281636,0.263581
mature,2,RGz,0.553033,0.130193,-0.42284
mature,2,RKz,0.200422,-0.257414,-0.457836
mature,2,RGe,-0.452595,-0.644176,-0.191582
mature,2,RKe,0.0622263,-0.0849513,-0.147178
mature,3,Az,0.206931,0.251988,0.0450563
mature,3,Ae,-0.191446,-0.265705,-0.0742595
mature,3,Kz,-0.16614,0.0996474,0.265787
mature,3,Ke,-0.234846,-0.412907,-0.178061
mature,3,Cz,0.494171,0.136338,-0.357833
mature,3,Ca,0.00357547,-0.186507,-0.190082
mature,3,Ck,-0.275385,-0.233133,0.0422518
mature,3,Ce,-0.244529,-0.392155,-0.147626
mature,3,Gz,0.123484,0.0272095,-0.0962742
mature,3,Ge,-0.182513,-0.458457,-0.275944
mature,3,BAz,0.438345,-0.118052,-0.556396
mature,3,BAe,-0.227769,0.132092,0.35986
mature,3,BKz,-0.496077,-0.34211,0.153967
mature,3,BKe,-0.400038,-0.475011,-0.0749734
mature,3,BΦZ,-0.046923,0.466092,0.513015
mature,3,BΦE,-0.115088,0.00297129,0.118059
mature,3,∂Az/∂t (finite diff.),0.556736,0.617824,0.0610882
