scope,eof,version,term,loading
incipient,8,after,BΦE,0.1264475
incipient,8,before,Gz,0.076056972
incipient,8,after,Gz,-0.078690349
incipient,8,before,Ge,0.14319358
incipient,8,after,Ge,0.031057827
incipient,8,before,∂Az/∂t (finite diff.),0.10595586
incipient,8,after,∂Az/∂t (finite diff.),0.24914683
incipient,8,before,∂Ae/∂t (finite diff.),0.68812679
incipient,8,after,∂Ae/∂t (finite diff.),0.70074286
incipient,8,before,∂Kz/∂t (finite diff.),0.080604318
incipient,8,after,∂Kz/∂t (finite diff.),0.1988054
incipient,8,before,∂Ke/∂t (finite diff.),0.5765873
incipient,8,after,∂Ke/∂t (finite diff.),0.53240573
incipient,8,before,RGz,0.2102589
incipient,8,after,RGz,0.22792964
incipient,8,before,RKz,-0.12464437
incipient,8,after,RKz,-0.065882588
incipient,8,before,RGe,0.097426748
incipient,8,after,RGe,0.19088113
incipient,8,before,RKe,0.14346244
incipient,8,after,RKe,0.079588328
intensification,1,before,Az,0.19524889
intensification,1,after,Az,0.20935922
intensification,1,before,Ae,0.73113923
intensification,1,after,Ae,0.7090194
intensification,1,before,Kz,0.3379418
intensification,1,after,Kz,0.28994027
intensification,1,before,Ke,0.70858301
intensification,1,after,Ke,0.73489833
intensification,1,before,Cz,-0.24423084
intensification,1,after,Cz,-0.28427572
intensification,1,before,Ca,0.89284509
intensification,1,after,Ca,0.89019953
intensification,1,before,Ck,-0.45058958
intensification,1,after,Ck,-0.1938638
intensification,1,before,Ce,0.88093445
intensification,1,after,Ce,0.85151498
intensification,1,before,BAz,0.41403849
intensification,1,after,BAz,0.38380877
intensification,1,before,BAe,-0.080766423
intensification,1,after,BAe,-0.08214271
intensification,1,before,BKz,-0.5286291
intensification,1,after,BKz,-0.62881907
intensification,1,before,BKe,0.28782972
intensification,1,after,BKe,0.32494275
intensification,1,before,BΦZ,0.57398219
intensification,1,after,BΦZ,0.66226469
intensification,1,before,BΦE,0.45677779
intensification,1,after,BΦE,-0.78684839
intensification,1,before,Gz,-0.22104537
intensification,1,after,Gz,-0.24548747
intensification,1,before,Ge,0.65786643
intensification,1,after,Ge,0.64155592
intensification,1,before,∂Az/∂t (finite diff.),-0.31685843
intensification,1,after,∂Az/∂t (finite diff.),-0.25152273
intensification,1,before,∂Ae/∂t (finite diff.),0.20316606
intensification,1,after,∂Ae/∂t (finite diff.),0.24147356
intensification,1,before,∂Kz/∂t (finite diff.),0.15825495
intensification,1,after,∂Kz/∂t (finite diff.),0.26938668
intensification,1,before,∂Ke/∂t (finite diff.),0.36938318
intensification,1,after,∂Ke/∂t (finite diff.),0.3984256
intensification,1,before,RGz,-0.53185134
intensification,1,after,RGz,-0.075508707
intensification,1,before,RKz,0.58083822
intensification,1,after,RKz,0.65717283
intensification,1,before,RGe,0.77558379
intensification,1,after,RGe,0.30178719
intensification,1,before,RKe,-0.87214194
intensification,1,after,RKe,-0.85965857
intensification,2,before,Az,-0.20673697
intensification,2,after,Az,-0.06114875
intensification,2,before,Ae,0.12000425
intensification,2,after,Ae,-0.20115167
intensification,2,before,Kz,0.096751326
intensification,2,after,Kz,-0.16252587
intensification,2,before,Ke,-0.12895061
intensification,2,after,Ke,-0.22120038
intensification,2,before,Cz,-0.27473281
intensification,2,after,Cz,0.19008188
intensification,2,before,Ca,-0.15127715
intensification,2,after,Ca,-0.099442847
intensification,2,before,Ck,0.14780483
intensification,2,after,Ck,-0.2345785
intensification,2,before,Ce,0.13773804
intensification,2,after,Ce,-0.15209881
intensification,2,before,BAz,-0.46836325
intensification,2,after,BAz,-0.19425554
intensification,2,before,BAe,0.47163841
intensification,2,after,BAe,0.012452201
intensification,2,before,BKz,-0.36729853
intensification,2,after,BKz,-0.61854966
intensification,2,before,BKe,-0.26561677
intensification,2,after,BKe,-0.37881715
intensification,2,before,BΦZ,0.64547659
intensification,2,after,BΦZ,0.65940231
intensification,2,before,BΦE,0.68916906
intensification,2,after,BΦE,0.027011841
intensification,2,before,Gz,0.12037392
intensification,2,after,Gz,0.24576273
intensification,2,before,Ge,0.12139213
intensification,2,after,Ge,-0.086010033
intensification,2,before,∂Az/∂t (finite diff.),0.45952798
intensification,2,after,∂Az/∂t (finite diff.),0.69077671
intensification,2,before,∂Ae/∂t (finite diff.),-0.24265492
intensification,2,after,∂Ae/∂t (finite diff.),-0.0058852669
intensification,2,before,∂Kz/∂t (finite diff.),0.46973941
intensification,2,after,∂Kz/∂t (finite diff.),0.65944426
intensification,2,before,∂Ke/∂t (finite diff.),-0.38033319
intensification,2,after,∂Ke/∂t (finite diff.),-0.35021503
intensification,2,before,RGz,0.49694201
intensification,2,after,RGz,0.71005499
intensification,2,before,RKz,0.43965439
intensification,2,after,RKz,0.71125576
intensification,2,before,RGe,-0.27229179
intensification,2,after,RGe,-0.11455841
intensification,2,before,RKe,0.13591603
intensification,2,after,RKe,0.16365338
intensification,3,before,Az,0.28284722
intensification,3,after,Az,0.41939369
intensification,3,before,Ae,-0.30659319
intensification,3,after,Ae,-0.24694317
intensification,3,before,Kz,-0.060940876
intensification,3,after,Kz,0.052087124
intensification,3,before,Ke,-0.1481641
intensification,3,after,Ke,-0.11218062
intensification,3,before,Cz,0.53268786
intensification,3,after,Cz,0.57822064
intensification,3,before,Ca,0.14116384
intensification,3,after,Ca,0.17925055
intensification,3,before,Ck,-0.38551144
intensification,3,after,Ck,-0.5908345
intensification,3,before,Ce,-0.22007148
intensification,3,after,Ce,-0.32978624
intensification,3,before,BAz,0.37825812
intensification,3,after,BAz,0.67150426
intensification,3,before,BAe,-0.46749592
intensification,3,after,BAe,-0.60070734
intensification,3,before,BKz,-0.53352772
intensification,3,after,BKz,-0.011768697
intensification,3,before,BKe,-0.25038272
intensification,3,after,BKe,-0.13368928
intensification,3,before,BΦZ,-0.18598417
intensification,3,after,BΦZ,-0.017402208
intensification,3,before,BΦE,-0.29631965
intensification,3,after,BΦE,-0.10701426
intensification,3,before,Gz,0.25448463
intensification,3,after,Gz,0.099846349
intensification,3,before,Ge,-0.14310429
intensification,3,after,Ge,-0.39128978
intensification,3,before,∂Az/∂t (finite diff.),0.46437804
intensification,3,after,∂Az/∂t (finite diff.),-0.094452365
intensification,3,before,∂Ae/∂t (finite diff.),0.25128368
intensification,3,after,∂Ae/∂t (finite diff.),0.3301855
intensification,3,before,∂Kz/∂t (finite diff.),0.539401
intensification,3,after,∂Kz/∂t (finite diff.),-0.037461524
intensification,3,before,∂Ke/∂t (finite diff.),-0.13184967
intensification,3,after,∂Ke/∂t (finite diff.),0.092301836
intensification,3,before,RGz,0.2346849
intensification,3,after,RGz,-0.22665538
intensification,3,before,RKz,0.59553626
intensification,3,after,RKz,0.030458628
intensification,3,before,RGe,0.18841648
intensification,3,after,RGe,0.076611032
intensification,3,before,RKe,0.0010289927
intensification,3,after,RKe,-0.078072584
intensification,4,before,Az,0.75621439
intensification,4,after,Az,0.6752528
intensification,4,before,Ae,-0.037299125
intensification,4,after,Ae,0.07513847
intensification,4,before,Kz,0.7590125
intensification,4,after,Kz,0.73405899
intensification,4,before,Ke,-0.32638447
intensification,4,after,Ke,-0.26271447
intensification,4,before,Cz,-0.13220668
intensification,4,after,Cz,-0.34188619
intensification,4,before,Ca,0.041450224
intensification,4,after,Ca,0.14215995
intensification,4,before,Ck,-0.0047553666
intensification,4,after,Ck,-0.061683833
intensification,4,before,Ce,-0.051767393
intensification,4,after,Ce,0.039524871
intensification,4,before,BAz,0.31000247
intensification,4,after,BAz,0.075803105
intensification,4,before,BAe,0.29161942
intensification,4,after,BAe,0.53466751
intensification,4,before,BKz,0.14260621
intensification,4,after,BKz,0.12240291
intensification,4,before,BKe,-0.25536065
intensification,4,after,BKe,-0.32077077
intensification,4,before,BΦZ,0.14120274
intensification,4,after,BΦZ,0.1227261
intensification,4,before,BΦE,0.0360361
intensification,4,after,BΦE,0.11735008
intensification,4,before,Gz,-0.39662236
intensification,4,after,Gz,-0.43505429
intensification,4,before,Ge,-0.22763488
intensification,4,after,Ge,-0.19967293
intensification,4,before,∂Az/∂t (finite diff.),-0.049366849
intensification,4,after,∂Az/∂t (finite diff.),-0.020923689
intensification,4,before,∂Ae/∂t (finite diff.),0.13742636
intensification,4,after,∂Ae/∂t (finite diff.),0.16215433
intensification,4,before,∂Kz/∂t (finite diff.),0.17282071
intensification,4,after,∂Kz/∂t (finite diff.),0.2613377
intensification,4,before,∂Ke/∂t (finite diff.),-0.18924044
intensification,4,after,∂Ke/∂t (finite diff.),-0.14091189
intensification,4,before,RGz,-0.39778879
intensification,4,after,RGz,-0.2489224
intensification,4,before,RKz,-0.044087969
intensification,4,after,RKz,0.030219769
intensification,4,before,RGe,-0.26488132
intensification,4,after,RGe,-0.66555577
intensification,4,before,RKe,0.16547381
intensification,4,after,RKe,0.17664419
intensification,5,before,Az,0.089950747
intensification,5,after,Az,0.1562409
intensification,5,before,Ae,0.1805336
intensification,5,after,Ae,0.063975519
intensification,5,before,Kz,0.21593741
intensification,5,after,Kz,0.16648212
intensification,5,before,Ke,0.049527932
intensification,5,after,Ke,0.049395276
intensification,5,before,Cz,0.63599314
intensification,5,after,Cz,0.49057811
intensification,5,before,Ca,-0.0029508913
intensification,5,after,Ca,-0.064346763
intensification,5,before,Ck,-0.16147881
intensification,5,after,Ck,0.1983404
intensification,5,before,Ce,0.1003386
intensification,5,after,Ce,0.16319932
intensification,5,before,BAz,0.11171866
intensification,5,after,BAz,0.11051788
