track_id,version,PC1,PC2,PC3,PC4,PC5,PC6,PC7,PC8
20150189,after,-1.1462049,-0.34487666,1.0258575,-0.52946382,0.32504901,-0.63023131,0.54684672,-1.4589349
20150206,after,-0.53043323,-0.5109132,-0.34377037,0.85519133,0.21552958,1.1901256,-0.21026858,-1.15064
20150231,after,1.4696412,1.3232512,-1.4630341,1.2424557,2.1513383,-0.43198892,-0.029220205,-0.25838972
20150252,after,-0.54405556,-0.85940515,0.25653732,-0.42963942,0.37516454,-0.17844865,-1.2310239,2.4720731
20150260,after,-0.22642762,0.087254302,-0.048498284,0.54577332,-0.50508557,-0.86538813,0.42751844,-0.23605569
20150266,after,1.1482996,-0.30308235,0.26264459,-0.044065893,-1.9688407,1.1406385,-0.45974698,-0.13134342
20150285,after,-1.3941613,0.69765469,1.7453532,-0.60330447,0.57755585,0.15134301,1.6548947,0.062718827
20150306,after,-0.1169877,0.13168404,0.1250157,-1.2634011,-0.8553599,-0.56991377,0.056206407,-0.32496974
20150359,after,0.9773202,-1.4190522,-1.5004377,-0.81819619,1.4170378,1.6027179,1.5866656,-0.59345826
20150370,after,-0.60569306,0.31869568,-0.10839558,-0.25587707,-0.55697124,-0.60212351,1.0490378,0.20783845
20150377,after,0.58812899,1.0939345,-0.68687548,1.8832695,-1.6307299,1.5503433,0.33829509,1.080449
20150391,after,0.84681991,0.15767257,-0.79884142,0.65374382,1.2603377,-1.3249493,-0.16640033,-1.4267126
20150407,after,-1.3550767,-1.2638851,1.3829379,-0.40640255,-1.1629981,-0.27604599,1.9258889,-1.6009893
20150436,after,0.84080569,0.18428727,1.1076067,-0.28750154,-1.3733681,0.92122547,-0.55543257,-0.17757482
20150441,after,-1.4480379,1.469912,0.017881016,-0.18486965,0.3593031,-0.58882077,3.1434139,1.7199181
20150445,after,0.34721854,0.83676192,1.4755927,1.6088923,0.32305029,-0.52104839,0.73855296,-0.22281526
20150451,after,-1.2053185,0.33004643,-0.27257987,-0.41219003,-0.083982269,-0.094985485,0.59469151,0.97014962
20150458,after,-0.7867764,0.3330974,2.3453052,-0.18582807,0.4179206,1.3218096,-0.19759738,1.133965
20150468,after,-0.20699734,-0.046605098,0.3084277,-0.7607,-0.18374791,0.22856368,-0.043303097,-0.36749894
20150482,after,-1.1594211,-1.7052304,0.48167839,1.5451435,0.087474295,0.31777393,0.30862032,-2.2934431
20150491,after,-1.1924263,-1.1983168,2.1858298,-1.1935988,-0.61111597,1.6658779,2.8948814,5.3998232
20150499,after,-0.18782887,0.028130615,1.0561811,-0.18776383,0.90270599,1.557645,0.74099696,-1.8705528
20150515,after,3.0430343,1.6506719,1.3633401,4.6107483,2.8676347,-0.12428601,0.87377747,-0.084127381
20150528,after,2.730519,-1.1800165,-1.1979121,-1.2236899,-2.1770034,-0.35177683,0.35339902,-1.1004548
20150532,after,3.6200512,-1.6460914,-3.0327912,0.38209445,-2.4376919,1.2919496,-0.15173955,-1.7048198
20150537,after,-0.99231538,0.58311498,0.10538814,0.03687235,0.024614648,-0.28060495,-0.3263053,-0.62039809
20150546,after,-0.73904711,-2.0067928,1.2096349,1.1458485,-0.27016267,-0.38363715,-0.48282909,-1.2200397
20150561,after,1.6905806,-2.3141023,-1.6334064,0.32768585,-0.017158708,-0.059189685,2.8239247,-1.7631109
20150566,after,0.31816812,1.9895788,0.52684288,0.32772009,0.0072116551,-0.74114976,0.45550377,0.99198519
20150594,after,-0.25922161,0.94643933,-0.99485537,-0.24618104,0.63180158,0.36769875,-0.73287562,-0.021794281
20150608,after,-0.041228053,0.0012439197,0.16936734,-0.0017213144,-0.59307225,0.51597796,0.37925139,1.7737693
20150614,after,-0.3008686,0.059006815,-0.73130551,-0.56617151,0.13961575,-0.23911824,-0.51750447,0.89129492
20150628,after,1.8747334,-1.9444646,-0.077498325,-0.086288294,1.8483429,-0.38194867,0.31974885,-0.48192063
20150629,after,-1.1895798,0.3214497,0.10513918,-0.19591143,0.014992334,-0.87397048,-0.013334969,0.5266432
20150637,after,-0.48880663,-0.10611147,1.7695838,1.3210201,-0.93806737,2.5940802,-1.5968629,0.39965766
20150638,after,-0.76996764,-0.29823742,-0.56850055,0.095989523,-0.50326644,-0.32147869,0.12309444,0.25363768
20150646,after,1.4677545,-0.2537755,0.21424231,-0.080068301,0.25093218,1.1917621,0.41948381,1.7190056
20150650,after,-0.23445576,0.57825442,0.31902119,-0.3852838,0.78451719,-1.7498967,-0.51452065,0.13111968
20150655,after,-0.39755629,0.47583743,-0.53369906,0.6558344,0.34478706,-0.27888413,-0.97315441,-0.35778778
20150656,after,1.0620358,-2.0244054,-1.140262,0.21640774,-1.0832144,0.59337849,0.34010795,0.7234705
20150682,after,0.24884805,0.028936187,0.45196227,-0.86941198,1.4939489,0.7180076,-0.17794598,-1.386228
20150699,after,2.2593532,0.32821922,3.262872,-0.38778737,1.0163941,0.46854584,-0.82093513,0.7377219
20150700,after,-0.37243237,0.22326417,0.2758903,0.60883331,0.37849292,0.15880677,0.54336977,-0.98724736
20150717,after,0.12593533,-1.7344654,-0.24542695,0.46737089,-0.089689434,-1.5453805,0.78241618,-0.11583323
20150746,after,2.1736457,-0.57980497,-0.76770496,1.3120901,-0.78130404,-0.24641173,1.1001176,0.5389458
20150761,after,0.89986615,-1.6240456,0.64078997,-0.73613325,1.548446,0.32237821,-2.1257874,-0.72798703
20150802,after,-0.34621636,0.34587931,-0.14838913,0.57439598,-0.86431543,-0.41399367,-0.27513986,0.43652078
20150805,after,0.01517649,1.1934104,0.95192816,-0.56398589,0.47373243,-0.18025663,-0.22819217,0.36034113
20150809,after,-0.20860586,2.1576098,1.8843895,0.0082818369,1.5376821,0.3604187,1.0661984,0.12040453
20150821,after,1.7418281,2.0700888,1.7720723,0.88816482,1.8657493,1.8727051,2.4833772,1.5038322
