track_id,PC1,PC2,PC3,PC4,sign,dominant_eof
19950116,-0.51605247,0.73345647,-1.8436665,-0.43632985,negative,3
19950142,-1.2181143,-0.11335107,-0.46632476,0.77459643,negative,1
19950240,1.2592853,0.11321948,-0.77034565,-1.1355227,negative,4
19950255,0.36031719,-1.3711103,0.40576785,0.5793057,negative,2
19950289,-1.5572295,-0.23068852,0.32691719,-1.3167456,negative,1
19950300,1.8492236,-2.1819967,3.0979746,-3.3540297,negative,4
19950306,1.9211959,-1.245617,1.6117857,-0.67325658,negative,2
19950399,-1.3946012,-1.0271297,-0.45900182,-0.28125245,negative,1
19950418,-1.1717933,0.73749905,-0.069183751,-0.40489764,negative,1
19950507,-0.1824012,-1.3504169,0.14731441,0.20959719,negative,2
19950512,0.16483196,-0.18499943,-2.2028416,-0.38798,negative,3
19950547,-0.35255356,-1.389028,0.035270094,0.12435479,negative,2
19950549,0.81674972,0.01968767,-3.3090932,0.21997656,negative,3
19950584,2.862385,0.47300923,-1.5729297,0.46028592,negative,3
19950629,-0.042139438,0.25027664,-2.2801148,1.3187233,negative,3
19950708,-1.2554474,-0.32749759,-0.27479245,-0.79717076,negative,1
19950734,0.31386096,-0.34157449,-3.4346594,-0.40417241,negative,3
19950766,-1.4963517,-0.18229759,0.056313218,-0.41568617,negative,1
19950770,0.56041459,0.60365345,-1.7775394,-1.6326297,negative,3
19950794,-0.87476143,-1.7257552,-0.7335583,0.8592179,negative,2
19950812,-1.5197279,-2.4549904,-1.3419111,-1.782654,negative,2
19950852,3.737698,-1.5778548,1.4519393,-1.9065641,negative,4
19951082,-0.68031118,-1.5759697,0.1540413,0.019107424,negative,2
19951096,1.0117335,-2.4957079,1.6229075,1.4649226,negative,2
19951163,-1.0859013,0.46170586,0.38003178,-0.25869839,negative,1
19960002,-1.4905526,0.14802879,-0.30354657,-0.25845037,negative,1
19960008,-1.7228242,-0.89221433,-0.20615726,1.0898861,negative,1
19960027,1.9210949,-1.1871601,0.67042935,0.28567569,negative,2
19960054,1.4856531,-0.32692574,0.62716039,-2.1211018,negative,4
19960074,-0.95804257,-0.63475863,-0.070725596,-1.2077771,negative,4
19960111,2.3454516,-0.95152756,0.29017525,-2.9329421,negative,4
19960155,1.0295987,-2.5047964,0.47333586,-0.052355556,negative,2
19960197,0.34392855,-2.1036619,1.1673892,0.23230148,negative,2
19960202,0.47991939,0.59682416,-1.4690035,-0.41181902,negative,3
19960269,-0.22298997,-0.8382102,-3.5485433,-1.0904998,negative,3
19960284,-1.2189754,-0.48168691,0.58284738,-0.78638221,negative,1
19960290,0.8231266,0.03778602,-0.51684667,-1.1192633,negative,4
19960308,0.084885329,-0.11278238,-2.08325,0.36923279,negative,3
19960347,2.3640719,0.22539716,-0.0036088793,-1.8360412,negative,4
19960363,-1.5626246,0.2774673,-0.38870657,-0.35879243,negative,1
19960379,-1.3013661,-4.4625394,-0.055280673,2.1265566,negative,2
19960386,0.47705186,-2.5658956,-2.4338742,2.8142835,negative,2
19960414,0.88759402,0.17912966,-0.86607813,-1.3907337,negative,4
19960450,-1.6926466,-0.18042734,0.10439614,0.43222144,negative,1
19960472,3.6660815,-0.068579351,3.1358563,-1.9572931,negative,4
19960501,-0.54083933,0.92378913,-2.0926733,0.7701011,negative,3
19960577,0.31274377,0.0900586,-0.56421399,-2.0434564,negative,4
19960612,1.6143997,-0.80646995,0.94764512,-1.7523539,negative,4
19960625,5.1368462,-0.88824817,-3.6540414,-3.4751996,negative,3
19960627,1.5281254,-0.53315509,-0.97632377,-2.4273474,negative,4
19960715,0.57223841,-2.6662418,1.8623961,1.8711949,negative,2
19960734,-0.54005437,-2.7704741,-4.3558692,3.4297048,negative,3
19960752,-0.57770437,-0.63319539,-2.5347363,0.68697043,negative,3
19960814,-0.16045163,0.22444425,-1.3521179,0.41710256,negative,3
19960865,-0.90000709,-1.6447488,-1.6863826,-0.62508789,negative,3
19960896,-1.3238516,-0.29863853,0.84523541,0.026063873,negative,1
19960978,0.80023913,-1.292187,2.1760817,2.3368133,negative,2
19960988,-1.2210276,-0.42088089,-0.76155589,0.21269342,negative,1
19961013,0.43183802,-2.6862544,0.05894395,-0.16370691,negative,2
19961045,-0.51939284,-0.15908991,-1.584375,0.44380968,negative,3
19961070,1.4080694,0.60052753,1.1682574,-2.4841258,negative,4
19961095,-1.2492325,-0.22787466,-0.81953455,-0.30597882,negative,1
19970004,-2.1511203,-0.57116974,-0.69260339,-1.6159484,negative,1
19970030,-1.8311739,-0.026286607,-1.2942575,-0.48196725,negative,1
19970033,-1.3453449,-0.35265074,0.48774376,-0.47181021,negative,1
19970127,2.3602394,-0.13301637,1.8606634,-1.2033207,negative,4
19970140,-1.3252561,-1.8479019,-1.7549309,2.0130684,negative,2
19970364,0.015672204,0.067123997,-0.72866199,-1.2302869,negative,4
19970391,-1.5326419,-1.3983119,-0.90320878,-0.23512784,negative,1
19970429,0.14315287,1.5421241,-1.6413874,0.70444899,negative,3
19970476,0.93270906,-0.11010137,-0.070624666,-1.2975205,negative,4
19970544,0.85530614,-0.098822387,-0.87774062,-2.2828807,negative,4
19970555,0.71746409,0.88654352,-3.5265102,-0.43217092,negative,3
19970579,3.0525295,-0.55961247,-0.041556873,-1.2230451,negative,4
19970594,-0.83259525,-0.59659136,-1.9431307,0.36960929,negative,3
19970638,0.19992598,0.60289142,-1.4968892,-0.041330111,negative,3
19970649,0.35104783,-0.7419787,-1.6334659,-0.90543513,negative,3
19970674,0.36499163,-0.34674299,0.58236904,-1.4624884,negative,4
19970690,-0.57780594,0.57050105,0.022765711,-1.1656992,negative,4
19970724,0.80900053,-0.45858703,0.13732442,-1.5101763,negative,4
19970726,-0.08424199,-0.42931711,0.37552266,-1.4882635,negative,4
19970727,-1.175825,-1.1670126,-0.71889124,0.15310275,negative,1
19970735,-1.0112884,-0.54306374,-3.1619301,-0.2100913,negative,3
19970844,-1.3145456,1.0324172,-1.0018134,0.17264059,negative,1
19970867,1.4812691,-1.5702323,-2.518656,1.5376797,negative,3
19970875,0.53065323,1.1353322,-1.8730319,-0.32032457,negative,3
19970884,-1.217692,-1.2927848,0.65545231,-0.4678051,negative,2
19970913,-1.1481126,0.47427083,0.69798091,-0.42507988,negative,1
19971013,-1.1932818,-0.17206854,0.21518646,-0.928575,negative,1
19971047,-1.2704214,-0.43166146,0.37394873,0.48513138,negative,1
19971055,0.65887963,-0.52424187,-0.29483842,-1.3833671,negative,4
19971065,-1.2921857,-0.95686583,-0.055756301,0.22019079,negative,1
19971096,2.1733446,-3.7243317,1.3293841,0.020752574,negative,2
19971109,1.18837,2.3758894,-2.2200366,1.3166999,negative,3
19971118,0.70540391,0.38247681,0.71594393,-1.3868182,negative,4
19980008,-1.1788731,-0.40390261,0.27434637,0.033053566,negative,1
19980022,-1.4455889,0.59323147,-0.69210866,-0.088453767,negative,1
19980055,0.54689074,-4.3212076,0.40663705,-0.96830912,negative,2
19980061,-1.2924904,-0.39635472,0.15068961,-0.13554137,negative,1
19980063,0.33352163,-0.29540485,-0.42318461,-1.4230553,negative,4
19980076,-1.306193,0.33720298,0.90624366,-0.18080905,negative,1
19980144,-1.2138243,0.45484098,0.82168507,0.053274484,negative,1
19980158,2.4153832,-0.22961078,1.4969233,-3.2581181,negative,4
19980259,1.5590903,-1.6477016,0.81436793,-0.99186044,negative,2
19980293,-2.218377,-2.6496489,-1.1115203,-1.1131307,negative,2
19980311,-0.65689244,-0.18527858,0.7691074,-2.0564826,negative,4
19980459,-0.13510855,1.7888806,-1.4714041,-1.4417242,negative,3
19980471,-1.4511861,-0.96484369,0.49476192,1.8315397,negative,1
19980484,-1.6918637,0.22216471,0.14131891,-0.50912943,negative,1
19980485,1.6850784,0.14164109,0.41572801,-2.4232963,negative,4
19980553,-0.46490389,-0.18690344,-0.45171184,-1.5248547,negative,4
19980606,-1.1487439,-1.3813979,-0.89412772,-1.0615782,negative,2
19980743,-0.40773436,-0.20243385,-0.60014915,-1.7246879,negative,4
19980803,1.3886168,1.2539852,-4.9365506,-0.62442916,negative,3
19980850,0.82937216,-0.033862535,-1.8165958,0.039440893,negative,3
19981064,-0.70295106,-0.8056806,-1.2830527,1.045218,negative,3
19981108,-1.2441791,-0.78601354,-0.45878595,-0.75685135,negative,1
19981154,-0.99585772,-0.00070446313,0.3293357,-1.2748277,negative,4
19990020,-0.2561761,0.70309958,-1.7920643,-0.19092333,negative,3
19990023,1.7826598,0.40487144,0.29698569,-2.6171858,negative,4
19990098,2.1007308,-1.6334051,0.23418503,3.230412,negative,2
